"","Prots","Genes","pH6.5","pH6.8","pH7.1","all"
"O75663","O75663","TIPRL",TRUE,TRUE,TRUE,TRUE
"P00749","P00749","PLAU",TRUE,TRUE,TRUE,TRUE
"P12111","P12111","COL6A3",TRUE,FALSE,TRUE,TRUE
"P46934","P46934","NEDD4",TRUE,TRUE,TRUE,TRUE
"P78324","P78324","SIRPA",TRUE,TRUE,TRUE,TRUE
"Q03405","Q03405","PLAUR",TRUE,TRUE,TRUE,TRUE
"Q15582","Q15582","TGFBI",TRUE,FALSE,FALSE,FALSE
"Q6EMK4","Q6EMK4","VASN",TRUE,TRUE,TRUE,TRUE
"Q8N6S5","Q8N6S5","ARL6IP6",TRUE,FALSE,TRUE,TRUE
"Q9H7B4","Q9H7B4","SMYD3",TRUE,FALSE,FALSE,FALSE
"O00469","O00469","PLOD2",FALSE,TRUE,FALSE,FALSE
"O00625","O00625","PIR",FALSE,TRUE,TRUE,TRUE
"O43676","O43676","NDUFB3",FALSE,TRUE,TRUE,FALSE
"O60437","O60437","PPL",FALSE,TRUE,TRUE,TRUE
"O95470","O95470","SGPL1",FALSE,TRUE,TRUE,TRUE
"O96000","O96000","NDUFB10",FALSE,TRUE,TRUE,TRUE
"P02452","P02452","COL1A1",FALSE,TRUE,TRUE,TRUE
"P02461","P02461","COL3A1",FALSE,TRUE,TRUE,TRUE
"P02751","P02751","FN1",FALSE,TRUE,TRUE,TRUE
"P02792","P02792","FTL",FALSE,TRUE,TRUE,TRUE
"P05362","P05362","ICAM1",FALSE,TRUE,TRUE,TRUE
"P07093","P07093","SERPINE2",FALSE,TRUE,TRUE,TRUE
"P08123","P08123","COL1A2",FALSE,TRUE,TRUE,TRUE
"P13804","P13804","ETFA",FALSE,TRUE,TRUE,TRUE
"P17342","P17342","NPR3",FALSE,TRUE,TRUE,TRUE
"P22570","P22570","FDXR",FALSE,TRUE,TRUE,FALSE
"P29279","P29279","CTGF",FALSE,TRUE,TRUE,TRUE
"P43155","P43155","CRAT",FALSE,TRUE,TRUE,TRUE
"Q14767","Q14767","LTBP2",FALSE,TRUE,TRUE,TRUE
"Q14980","Q14980","NUMA1",FALSE,TRUE,TRUE,TRUE
"Q15113","Q15113","PCOLCE",FALSE,TRUE,TRUE,TRUE
"Q15833","Q15833","STXBP2",FALSE,TRUE,TRUE,TRUE
"Q16222","Q16222","UAP1",FALSE,TRUE,TRUE,TRUE
"Q4G176","Q4G176","ACSF3",FALSE,TRUE,TRUE,TRUE
"Q5BJH7","Q5BJH7","YIF1B",FALSE,TRUE,TRUE,TRUE
"Q5JTV8","Q5JTV8","TOR1AIP1",FALSE,TRUE,TRUE,TRUE
"Q5T1M5","Q5T1M5","FKBP15",FALSE,TRUE,TRUE,TRUE
"Q6UXV4","Q6UXV4","APOOL",FALSE,TRUE,TRUE,TRUE
"Q86V21","Q86V21","AACS",FALSE,TRUE,TRUE,TRUE
"Q96QD9","Q96QD9","FYTTD1",FALSE,TRUE,TRUE,FALSE
"Q9BV79","Q9BV79","MECR",FALSE,TRUE,TRUE,FALSE
"Q9H2K0","Q9H2K0","MTIF3",FALSE,TRUE,FALSE,FALSE
"Q9HD15","Q9HD15","SRA1",FALSE,TRUE,TRUE,TRUE
"Q9HD34","Q9HD34","LYRM4",FALSE,TRUE,TRUE,TRUE
"Q9NPJ3","Q9NPJ3","ACOT13",FALSE,TRUE,TRUE,TRUE
"Q9NWS0","Q9NWS0","PIH1D1",FALSE,TRUE,TRUE,TRUE
"Q9NYP7","Q9NYP7","ELOVL5",FALSE,TRUE,TRUE,TRUE
"Q9UKI2","Q9UKI2","CDC42EP3",FALSE,TRUE,TRUE,TRUE
"Q9ULQ1","Q9ULQ1","TPCN1",FALSE,TRUE,TRUE,TRUE
"Q9Y4H2","Q9Y4H2","IRS2",FALSE,TRUE,TRUE,TRUE
"Q9Y6A9","Q9Y6A9","SPCS1",FALSE,TRUE,FALSE,FALSE
"Q9Y6H1;Q5T1J5","Q9Y6H1;Q5T1J5","CHCHD2;CHCHD2P9",FALSE,TRUE,TRUE,TRUE
"A0FGR8","A0FGR8","ESYT2",FALSE,FALSE,TRUE,FALSE
"E9PRG8","E9PRG8","C11orf98",FALSE,FALSE,TRUE,TRUE
"O00592","O00592","PODXL",FALSE,FALSE,TRUE,FALSE
"O15533","O15533","TAPBP",FALSE,FALSE,TRUE,FALSE
"O60331","O60331","PIP5K1C",FALSE,FALSE,TRUE,FALSE
"O75521","O75521","ECI2",FALSE,FALSE,TRUE,FALSE
"O94830","O94830","DDHD2",FALSE,FALSE,TRUE,FALSE
"P01033","P01033","TIMP1",FALSE,FALSE,TRUE,FALSE
"P04040","P04040","CAT",FALSE,FALSE,TRUE,FALSE
"P07814","P07814","EPRS",FALSE,FALSE,TRUE,FALSE
"P0CG12","P0CG12","CHTF8",FALSE,FALSE,TRUE,TRUE
"P0DPI2;A0A0B4J2D5","P0DPI2;A0A0B4J2D5","",FALSE,FALSE,TRUE,FALSE
"P10253","P10253","GAA",FALSE,FALSE,TRUE,FALSE
"P13987","P13987","CD59",FALSE,FALSE,TRUE,FALSE
"P21589","P21589","NT5E",FALSE,FALSE,TRUE,FALSE
"P23368","P23368","ME2",FALSE,FALSE,TRUE,FALSE
"P27487","P27487","DPP4",FALSE,FALSE,TRUE,FALSE
"P27701","P27701","CD82",FALSE,FALSE,TRUE,FALSE
"P28845","P28845","HSD11B1",FALSE,FALSE,TRUE,FALSE
"P29401","P29401","TKT",FALSE,FALSE,TRUE,FALSE
"P36269","P36269","GGT5",FALSE,FALSE,TRUE,FALSE
"P42126","P42126","ECI1",FALSE,FALSE,TRUE,FALSE
"P46939","P46939","UTRN",FALSE,FALSE,TRUE,TRUE
"P47985","P47985","UQCRFS1",FALSE,FALSE,TRUE,FALSE
"P49589","P49589","CARS",FALSE,FALSE,TRUE,FALSE
"P53007","P53007","SLC25A1",FALSE,FALSE,TRUE,FALSE
"P58004","P58004","SESN2",FALSE,FALSE,TRUE,FALSE
"Q03169","Q03169","TNFAIP2",FALSE,FALSE,TRUE,FALSE
"Q04828","Q04828","AKR1C1",FALSE,FALSE,TRUE,FALSE
"Q15075","Q15075","EEA1",FALSE,FALSE,TRUE,FALSE
"Q15366","Q15366","PCBP2",FALSE,FALSE,TRUE,FALSE
"Q15437","Q15437","SEC23B",FALSE,FALSE,TRUE,FALSE
"Q15653","Q15653","NFKBIB",FALSE,FALSE,TRUE,FALSE
"Q53F19","Q53F19","C17orf85",FALSE,FALSE,TRUE,FALSE
"Q53TN4","Q53TN4","CYBRD1",FALSE,FALSE,TRUE,FALSE
"Q6NUK1","Q6NUK1","SLC25A24",FALSE,FALSE,TRUE,FALSE
"Q6UW63","Q6UW63","KDELC1",FALSE,FALSE,TRUE,FALSE
"Q6UWF9","Q6UWF9","FAM180A",FALSE,FALSE,TRUE,FALSE
"Q6YHK3","Q6YHK3","CD109",FALSE,FALSE,TRUE,FALSE
"Q7Z434","Q7Z434","MAVS",FALSE,FALSE,TRUE,FALSE
"Q7Z5L9","Q7Z5L9","IRF2BP2",FALSE,FALSE,TRUE,FALSE
"Q7Z6M1","Q7Z6M1","RABEPK",FALSE,FALSE,TRUE,FALSE
"Q86W92","Q86W92","PPFIBP1",FALSE,FALSE,TRUE,FALSE
"Q8IX04","Q8IX04","UEVLD",FALSE,FALSE,TRUE,FALSE
"Q8NBN7","Q8NBN7","RDH13",FALSE,FALSE,TRUE,FALSE
"Q8NEU8","Q8NEU8","APPL2",FALSE,FALSE,TRUE,FALSE
"Q8WX93","Q8WX93","PALLD",FALSE,FALSE,TRUE,FALSE
"Q96K37","Q96K37","SLC35E1",FALSE,FALSE,TRUE,FALSE
"Q9BVJ6","Q9BVJ6","UTP14A",FALSE,FALSE,TRUE,FALSE
"Q9H6L2","Q9H6L2","TMEM231",FALSE,FALSE,TRUE,FALSE
"Q9NQW6","Q9NQW6","ANLN",FALSE,FALSE,TRUE,FALSE
"Q9NWW5","Q9NWW5","CLN6",FALSE,FALSE,TRUE,FALSE
"Q9NZM5","Q9NZM5","GLTSCR2",FALSE,FALSE,TRUE,TRUE
"Q9P2R7","Q9P2R7","SUCLA2",FALSE,FALSE,TRUE,FALSE
"Q9UHL4","Q9UHL4","DPP7",FALSE,FALSE,TRUE,FALSE
"Q9Y426","Q9Y426","C2CD2",FALSE,FALSE,TRUE,FALSE
"Q9Y5X1","Q9Y5X1","SNX9",FALSE,FALSE,TRUE,TRUE
